time,X,Y,Z
2025-08-28 18:46:08.181,5.97,-7.42,2.81
2025-08-28 18:46:08.202,6.18,-7.24,2.81
2025-08-28 18:46:08.221,6.22,-7.71,2.88
2025-08-28 18:46:08.241,6.02,-8.49,2.96
2025-08-28 18:46:08.266,5.64,-8.59,2.79
2025-08-28 18:46:08.281,5.39,-8.14,2.66
2025-08-28 18:46:08.302,5.3,-7.01,2.75
2025-08-28 18:46:08.323,5.24,-7.34,2.72
2025-08-28 18:46:08.326,5.24,-7.34,2.72
2025-08-28 18:46:08.343,5.26,-7.69,2.7
2025-08-28 18:46:08.372,5.5,-7.52,2.8
2025-08-28 18:46:08.384,5.37,-7.14,2.78
2025-08-28 18:46:08.404,5.16,-6.93,2.86
2025-08-28 18:46:08.424,5.22,-6.8,2.99
2025-08-28 18:46:08.445,5.28,-6.73,2.97
2025-08-28 18:46:08.468,5.24,-6.81,3.05
2025-08-28 18:46:08.484,5.11,-6.94,3.05
2025-08-28 18:46:08.504,5.07,-6.87,2.97
2025-08-28 18:46:08.524,4.96,-6.59,2.85
2025-08-28 18:46:08.553,5.02,-6.69,2.62
2025-08-28 18:46:08.564,4.83,-6.64,2.63
2025-08-28 18:46:08.583,4.6,-6.3,2.69
2025-08-28 18:46:08.605,4.66,-6.39,2.6
2025-08-28 18:46:08.627,4.74,-6.62,2.36
2025-08-28 18:46:08.653,4.81,-6.62,2.18
2025-08-28 18:46:08.663,4.69,-6.27,2.21
2025-08-28 18:46:08.684,4.66,-5.96,2.07
2025-08-28 18:46:08.704,4.7,-5.86,2.04
2025-08-28 18:46:08.724,4.78,-6.08,1.68
2025-08-28 18:46:08.753,4.61,-6.59,1.04
2025-08-28 18:46:08.765,4.36,-6.16,0.94
2025-08-28 18:46:08.786,4.08,-5.54,0.59
2025-08-28 18:46:08.804,4.32,-5.62,0.39
2025-08-28 18:46:08.824,4.46,-5.49,0.63
2025-08-28 18:46:08.852,4.16,-4.4,1.01
2025-08-28 18:46:08.865,4.23,-4.11,1.74
2025-08-28 18:46:08.885,4.35,-5.94,2.04
2025-08-28 18:46:08.904,5.58,-7.88,1.85
2025-08-28 18:46:08.926,5.43,-7.35,2.43
2025-08-28 18:46:08.950,4.77,-6.45,2.79
2025-08-28 18:46:08.964,4.41,-6.74,3.14
2025-08-28 18:46:08.985,4.55,-7.09,2.81
2025-08-28 18:46:09.005,4.72,-7.29,2.42
2025-08-28 18:46:09.025,5.08,-7.2,2.33
2025-08-28 18:46:09.052,5.31,-7.04,2.75
2025-08-28 18:46:09.064,5.18,-7.86,2.56
2025-08-28 18:46:09.085,5.48,-8.88,2.28
2025-08-28 18:46:09.108,5.15,-8.19,2.08
2025-08-28 18:46:09.139,4.7,-7.46,2.51
2025-08-28 18:46:09.145,4.52,-7.52,2.84
2025-08-28 18:46:09.165,4.6,-8.09,2.66
2025-08-28 18:46:09.186,4.83,-8.38,2.27
2025-08-28 18:46:09.205,5.0,-8.14,2.02
2025-08-28 18:46:09.224,4.92,-7.8,2.3
2025-08-28 18:46:09.251,4.99,-8.3,2.49
2025-08-28 18:46:09.267,5.14,-9.19,2.19
2025-08-28 18:46:09.285,5.1,-9.07,2.09
2025-08-28 18:46:09.305,5.38,-8.77,2.16
2025-08-28 18:46:09.334,5.27,-8.81,2.45
2025-08-28 18:46:09.346,5.44,-8.99,2.34
2025-08-28 18:46:09.365,5.42,-9.24,2.57
2025-08-28 18:46:09.386,5.31,-9.81,2.56
2025-08-28 18:46:09.407,5.55,-9.75,2.61
2025-08-28 18:46:09.432,6.01,-9.17,2.72
2025-08-28 18:46:09.447,5.74,-9.54,2.79
2025-08-28 18:46:09.466,5.39,-9.76,2.94
2025-08-28 18:46:09.485,5.83,-9.57,3.16
2025-08-28 18:46:09.505,6.12,-9.63,3.13
2025-08-28 18:46:09.529,6.27,-9.77,3.06
2025-08-28 18:46:09.546,6.43,-9.54,3.12
2025-08-28 18:46:09.567,6.6,-9.67,2.95
2025-08-28 18:46:09.589,6.46,-10.31,3.27
2025-08-28 18:46:09.616,6.22,-10.51,3.02
2025-08-28 18:46:09.631,6.29,-10.63,2.89
2025-08-28 18:46:09.646,6.92,-10.57,3.23
2025-08-28 18:46:09.665,7.52,-10.27,3.95
2025-08-28 18:46:09.686,7.58,-10.52,3.94
2025-08-28 18:46:09.707,7.64,-10.93,3.77
2025-08-28 18:46:09.735,7.64,-11.68,3.8
2025-08-28 18:46:09.748,7.23,-11.31,3.73
2025-08-28 18:46:09.766,7.09,-9.98,3.57
2025-08-28 18:46:09.787,7.08,-9.97,3.56
