time,X,Y,Z
2025-08-28 18:46:07.788,-0.28,0.23,-0.12
2025-08-28 18:46:07.803,-0.21,0.19,-0.17
2025-08-28 18:46:07.823,-0.08,0.19,-0.18
2025-08-28 18:46:07.846,-0.05,0.21,-0.13
2025-08-28 18:46:07.869,-0.05,0.22,-0.05
2025-08-28 18:46:07.883,0.0,0.22,0.01
2025-08-28 18:46:07.903,0.09,0.22,0.06
2025-08-28 18:46:07.921,0.18,0.21,0.09
2025-08-28 18:46:07.942,0.25,0.25,0.08
2025-08-28 18:46:07.963,0.24,0.27,0.07
2025-08-28 18:46:07.988,0.11,0.28,0.05
2025-08-28 18:46:08.004,0.03,0.25,0.01
2025-08-28 18:46:08.022,0.05,0.17,-0.02
2025-08-28 18:46:08.042,0.14,0.11,-0.04
2025-08-28 18:46:08.062,0.22,0.13,-0.03
2025-08-28 18:46:08.088,0.25,0.15,-0.03
2025-08-28 18:46:08.102,0.11,0.13,-0.07
2025-08-28 18:46:08.122,-0.02,0.07,-0.09
2025-08-28 18:46:08.144,-0.11,-0.0,-0.14
2025-08-28 18:46:08.171,-0.11,-0.04,-0.18
2025-08-28 18:46:08.183,-0.15,-0.09,-0.18
2025-08-28 18:46:08.203,-0.33,-0.1,-0.17
2025-08-28 18:46:08.222,-0.37,-0.06,-0.12
2025-08-28 18:46:08.242,-0.24,0.02,-0.07
2025-08-28 18:46:08.268,-0.05,0.08,-0.04
2025-08-28 18:46:08.283,0.05,0.13,-0.0
2025-08-28 18:46:08.303,0.08,0.19,0.04
2025-08-28 18:46:08.324,0.05,0.19,0.08
2025-08-28 18:46:08.327,0.05,0.18,0.08
2025-08-28 18:46:08.345,0.04,0.1,0.07
2025-08-28 18:46:08.373,0.03,0.05,0.06
2025-08-28 18:46:08.385,0.04,0.01,0.06
2025-08-28 18:46:08.406,0.01,-0.05,0.08
2025-08-28 18:46:08.426,-0.03,-0.1,0.06
2025-08-28 18:46:08.446,-0.08,-0.12,0.06
2025-08-28 18:46:08.468,-0.14,-0.09,0.05
2025-08-28 18:46:08.485,-0.18,-0.08,0.05
2025-08-28 18:46:08.505,-0.23,-0.09,0.03
2025-08-28 18:46:08.525,-0.29,-0.11,0.02
2025-08-28 18:46:08.554,-0.36,-0.13,0.01
2025-08-28 18:46:08.565,-0.37,-0.14,0.0
2025-08-28 18:46:08.584,-0.39,-0.17,-0.0
2025-08-28 18:46:08.606,-0.38,-0.19,-0.0
2025-08-28 18:46:08.628,-0.32,-0.11,-0.0
2025-08-28 18:46:08.654,-0.21,-0.03,0.0
2025-08-28 18:46:08.664,-0.08,0.04,0.03
2025-08-28 18:46:08.684,0.02,0.06,0.09
2025-08-28 18:46:08.705,0.0,0.04,0.11
2025-08-28 18:46:08.725,-0.0,0.07,0.14
2025-08-28 18:46:08.754,0.25,0.08,0.16
2025-08-28 18:46:08.765,0.39,0.09,0.18
2025-08-28 18:46:08.786,0.42,0.1,0.2
2025-08-28 18:46:08.806,0.71,0.1,0.13
2025-08-28 18:46:08.826,1.02,0.15,0.14
2025-08-28 18:46:08.853,0.7,0.17,0.14
2025-08-28 18:46:08.866,0.04,0.19,0.11
2025-08-28 18:46:08.886,-0.29,0.14,0.15
2025-08-28 18:46:08.906,-0.27,0.06,0.13
2025-08-28 18:46:08.927,-0.17,0.08,0.1
2025-08-28 18:46:08.951,-0.4,0.07,0.08
2025-08-28 18:46:08.966,-0.48,0.1,0.06
2025-08-28 18:46:08.986,-0.55,0.1,0.05
2025-08-28 18:46:09.007,-0.49,0.08,0.05
2025-08-28 18:46:09.027,-0.51,0.05,0.02
2025-08-28 18:46:09.053,-0.64,0.07,0.0
2025-08-28 18:46:09.066,-0.61,0.17,-0.01
2025-08-28 18:46:09.087,-0.29,0.19,-0.0
2025-08-28 18:46:09.110,-0.02,0.22,0.0
2025-08-28 18:46:09.140,0.05,0.21,0.01
2025-08-28 18:46:09.146,-0.12,0.17,0.01
2025-08-28 18:46:09.166,-0.15,0.15,0.06
2025-08-28 18:46:09.187,-0.05,0.14,0.07
2025-08-28 18:46:09.207,0.07,0.1,0.08
2025-08-28 18:46:09.226,0.02,0.09,0.08
2025-08-28 18:46:09.251,-0.1,0.15,0.05
2025-08-28 18:46:09.269,-0.04,0.14,-0.0
2025-08-28 18:46:09.287,0.05,0.12,-0.03
2025-08-28 18:46:09.307,0.09,0.08,0.02
2025-08-28 18:46:09.335,0.15,0.15,0.1
2025-08-28 18:46:09.347,0.08,0.16,0.05
2025-08-28 18:46:09.367,-0.07,0.14,-0.02
2025-08-28 18:46:09.387,-0.03,0.04,-0.01
2025-08-28 18:46:09.408,0.07,-0.03,-0.01
2025-08-28 18:46:09.433,0.19,-0.05,-0.02
2025-08-28 18:46:09.448,0.2,-0.01,-0.01
2025-08-28 18:46:09.467,0.11,-0.02,0.0
