2025-08-28 18:17:26.887 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.01, Z: -0.00
2025-08-28 18:17:26.906 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: 0.01, Z: 0.05
2025-08-28 18:17:26.932 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.00, Z: 0.05
2025-08-28 18:17:26.948 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.02, Z: 0.06
2025-08-28 18:17:26.969 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.02, Z: 0.05
2025-08-28 18:17:26.990 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.03, Z: 0.04
2025-08-28 18:17:27.008 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.00, Z: 0.05
2025-08-28 18:17:27.035 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: -0.02, Z: 0.01
2025-08-28 18:17:27.047 11161-11161 AccelData               com.example.geunhwang                D  X: 0.08, Y: -0.03, Z: -0.05
2025-08-28 18:17:27.066 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: -0.04, Z: -0.04
2025-08-28 18:17:27.088 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: -0.12, Z: 0.00
2025-08-28 18:17:27.117 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.02, Z: -0.01
2025-08-28 18:17:27.129 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.16, Z: -0.05
2025-08-28 18:17:27.147 11161-11161 AccelData               com.example.geunhwang                D  X: -0.05, Y: -0.22, Z: 0.01
2025-08-28 18:17:27.167 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: -0.06, Z: 0.08
2025-08-28 18:17:27.187 11161-11161 AccelData               com.example.geunhwang                D  X: 0.06, Y: -0.05, Z: 0.08
2025-08-28 18:17:27.209 11161-11161 AccelData               com.example.geunhwang                D  X: 0.04, Y: -0.04, Z: 0.01
